Fragment,Description,Mach,Cd,Time (s),Mass (Kg),Area (m^2),b (kg/m^2),Count,Hazard Radius (m),Explosion Velocity (m/s),Yield Model,Motor Diameter (m),Constant Model,Yield Mass (m/s),Radius (m),Length (m),Width,Height,Shape,Material
1,No Breakup,,,,3599,21.12,52.1,1,,,,,,,1.27,8.13,,,Cylinder,Graphite Epoxy 1
2,Partial Breakup,,,,3271,16.63,116.44,1,,,,,,,0.99,8.13,,,Cylinder,Graphite Epoxy 1
3,Partial Breakup,,,,86,1.36,65.74,2,,,,,,,0.52,1.32,,,Cylinder,Graphite Epoxy 1
5,Partial Breakup,,,,36,1.02,36.79,2,,,,,,,0.3,1.68,,,Cylinder,Reinforced Carbon-Carbon
7,Partial Breakup,,,,5,0.37,13.91,1,,,,,,,0.3,0.61,,,Cylinder,Graphite Epoxy 1
8,Partial Breakup,,,,20,0.64,31.52,2,,,,,,,0.23,1.4,,,Cylinder,Reinforced Carbon-Carbon
10,Partial Breakup,,,,39,0.49,80.82,1,,,,,,,0.29,0.86,,,Cylinder,Titanium (generic)
11,Full Breakup,,,,5,0.95,5.25,1,0.884896785,,,,,,0.48,0.97,,,Cylinder,Graphite Epoxy 1
12,Full Breakup,,,,35,0.79,45.82,3,0.834924338,,,,,,0.26,1.52,,,Cylinder,Titanium (generic)
15,Full Breakup,,,,38,1.77,22.36,1,1.082303276,,,,,,0.76,1.14,,,Cylinder,Titanium (generic)
16,Full Breakup,,,,28,2.91,9.84,2,1.30619332,,,,,,0.49,3,,,Cylinder,Graphite Epoxy 1
18,Full Breakup,,,,87,5.83,15.51,1,1.706615205,,,,,,0.98,3,,,Cylinder,Aluminum 2024-T3
19,Full Breakup,,,,27,2.91,9.68,2,1.30619332,,,,,,0.49,3,,,Cylinder,Aluminum 2024-T3
21,Full Breakup,,,,86,1.36,65.74,2,0.999746489,,,,,,0.52,1.32,,,Cylinder,Graphite Epoxy 1
23,Full Breakup,,,,36,1.02,36.79,2,0.909728368,,,,,,0.3,1.68,,,Cylinder,Reinforced Carbon-Carbon
25,Full Breakup,,,,5,0.37,13.91,1,0.681712868,,,,,,0.3,0.61,,,Cylinder,Graphite Epoxy 1
26,Full Breakup,,,,20,0.64,31.52,2,0.789865417,,,,,,0.23,1.4,,,Cylinder,Reinforced Carbon-Carbon
28,Full Breakup,,,,39,0.49,80.82,1,0.739927702,,,,,,0.29,0.86,,,Cylinder,Titanium (generic)
29,Full Breakup,,,,188,1.69,101.61,1,1.077882686,,,,,,0.49,1.74,,,Cylinder,Titanium (generic)
30,Full Breakup,,,,36,0.26,128.14,1,0.623167763,,,,,,0.18,0.71,,,Cylinder,Titanium (generic)
31,Full Breakup,,,,28,0.58,43.55,1,0.771517652,,,,,,0.29,1,,,Cylinder,Titanium (generic)
32,Full Breakup,,,,23,0.3,68.87,1,0.65309666,,,,,,0.2,0.76,,,Cylinder,Titanium (generic)
33,Full Breakup,,,,43,0.73,53.68,1,0.817588381,,,,,,0.42,0.85,,,Cylinder,Aluminum 6061-T6
34,Full Breakup,,,,12,0.22,51.66,2,0.599741754,,,,,,0.19,0.56,,,Cylinder,Aluminum 6061-T6
36,Full Breakup,,,,361,1.87,199.52,1,1.109891553,,,,,,0.56,1.66,,,Cylinder,Aluminum 6061-T6
37,Full Breakup,,,,46,0.35,136.49,1,0.669938012,,,,,,0.21,0.82,,,Cylinder,Aluminum 6061-T6
38,Full Breakup,,,,117,1.05,115.81,1,0.911476167,,,,,,0.45,1.14,,,Cylinder,Aluminum 6061-T6
39,Full Breakup,,,,27,0.39,70.22,2,0.688681153,,,,,,0.25,0.76,,,Cylinder,Aluminum 6061-T6
41,Full Breakup,,,,14,0.06,229.16,1,0.482043791,,,,,,0.13,0.25,,,Cylinder,Aluminum 6061-T6
42,Full Breakup,,,,14,0.06,238.71,1,0.478730736,,,,,,0.15,0.2,,,Cylinder,Aluminum 6061-T6
43,Full Breakup,,,,51,0.19,252.94,2,0.575362739,,,,,,0.07,1.23,,,Cylinder,Titanium (generic)
45,Full Breakup,,,,16,0.15,97.68,1,0.552790639,,,,,,0.07,1.01,,,Cylinder,Titanium (generic)
46,Full Breakup,,,,17,0.49,35.45,2,0.739927702,,,,,,0.19,1.35,,,Cylinder,Graphite Epoxy 1
48,Full Breakup,,,,7,0.13,56.2,2,0.552790639,,,,,,0.06,1.11,,,Cylinder,Graphite Epoxy 1
50,Full Breakup,,,,16,0.64,24.38,3,0.793885114,,,,,,0.24,1.39,,,Cylinder,Graphite Epoxy 1
53,Full Breakup,,,,449,5.63,73.22,1,1.647781335,,,,,,0.99,2.71,,,Cylinder,Nomex
54,Full Breakup,,,,449,5.63,73.22,1,1.647781335,,,,,,0.99,2.71,,,Cylinder,Graphite Epoxy 1
55,Full Breakup,,,,449,5.63,73.22,1,1.647781335,,,,,,0.99,2.71,,,Cylinder,Aluminum  6061-T6
56,Full Breakup,,,,25,0.43,52.83,1,0.706927522,,,,,,0.25,0.84,,,Cylinder,Aluminum (generic)
57,Full Breakup,,,,393,2.55,141.05,1,1.239934172,,,,,,0.7,1.82,,,Cylinder,Aluminum 2024-T3
