"TIME (SEC)   ","X (FT)       ","Y (FT)       ","Z (FT)       ","VX (FT/SEC)  ","VY (FT/SEC)  ","VZ (FT/SEC)  ","AX (FT/SEC^2)","AY (FT/SEC^2)","AZ (FT/SEC^2)","L11          ","L21          ","L31          ","L12          ","L22          ","L32          ","L13          ","L23          ","L33          ","LAT (DEG)    ","LONG (DEG)   ","ALT (FT)     ","VR (FT/SEC)  ","AR (FT/SEC^2)","RA(NM)       ","PAV (DEG)    ","T IIP (SEC)  ","PHI (DEG)    ","LAMBDA (DEG) ","R IIP (NM)   ","THRUST (LBS) ","WEIGHT (LBS) ","E (FT)       ","F (FT)       ","G (FT)       ","VE (FT/SEC)  ","VF (FT/SEC)  ","VG (FT/SEC)  ",
0.000000000000000e+00, -1.563355345114080e-04, 1.787022236478450e-03, 9.378048725066958e+01, 8.350363520809842e-19, -6.001433076441663e-19, 1.000000000000000e-03, -4.392165129998724e-02, -6.425256777999838e-02, 1.587297678000000e+01, 1.440285728000000e-01, -8.666710353000000e-01, 4.776369823000000e-01, -8.780686964000000e-01, 1.106576842000000e-01, 4.655644331000000e-01, -4.563454116000000e-01, -4.864526632000000e-01, -7.450588378000000e-01, 2.853118100493355e+01, -8.056447700000000e+01, 9.378048726064189e+01, 1.000000000000000e-03, 1.587316759069652e+01, 0.000000000000000e+00, 8.999999999472503e+01, 2.416924325240567e+00, 2.853118135717094e+01, -8.056447696983048e+01, 2.143334134676548e-05, 7.268385000000000e+05, 8.185275865000000e+05, 3.016208640271350e+06, -1.814959777924877e+07, 9.935587171199288e+06, 1.440285755229445e-04, -8.666710517162450e-04, 4.776369516169048e-04, 
1.000000000000000e+00, -2.127608366439977e-02, -2.966143717092960e-02, 1.011907735509342e+02, -4.392165129998724e-02, -6.425256777999838e-02, 1.587397678000000e+01, -5.070749238998452e-02, -6.709170991999928e-02, 1.765868346000000e+01, 1.439653738000000e-01, -8.666815357000000e-01, 4.776369823000000e-01, -8.780606248000000e-01, 1.107217137000000e-01, 4.655644331000000e-01, -4.563808831000000e-01, -4.864193847000000e-01, -7.450588378000000e-01, 2.853118092383565e+01, -8.056447707405542e+01, 1.011907735630488e+02, 1.587416757867632e+01, 1.765888371579025e+01, 6.007594289961271e-06, 8.971908164980839e+01, 3.053159611101344e+00, 2.853118098065126e+01, -8.056447751208248e+01, 2.708751897838399e-05, 7.232685242000001e+05, 1.110895093000000e+06, 3.016209686414761e+06, -1.814960421932192e+07, 9.935590684718877e+06, 2.242331755491982e+00, -1.379396253211805e+01, 7.529126262504436e+00, 
2.000000000000000e+00, -9.004536199271938e-02, -1.273444082926366e-01, 1.258433018519833e+02, -9.462914368997176e-02, -1.313442776999977e-01, 3.353266023999999e+01, -5.678165960998508e-02, -6.836780459999554e-02, 1.821759303000000e+01, 1.439021740000000e-01, -8.666920315000000e-01, 4.776369823000000e-01, -8.780525485000000e-01, 1.107857426000000e-01, 4.655644331000000e-01, -4.564163521000000e-01, -4.863861036000000e-01, -7.450588378000000e-01, 2.853118067269501e+01, -8.056447731391077e+01, 1.258433018652160e+02, 3.353305099100582e+01, 1.821780980579934e+01, 2.566821022468621e-05, 8.972340081378444e+01, 4.032516009173381e+00, 2.853118029375304e+01, -8.056447861036074e+01, 9.502143646805417e-05, 7.196049211000000e+05, 1.118521832000000e+06, 3.016213168254527e+06, -1.814962564060779e+07, 9.935602379449582e+06, 4.734974767664149e+00, -2.913688144415335e+01, 1.590872912662519e+01, 
3.000000000000000e+00, -2.125578361727570e-01, -2.927721094017266e-01, 1.684402862507187e+02, -1.514108032999569e-01, -1.997120822999932e-01, 5.175025327000000e+01, -6.300951229998454e-02, -6.965434690000537e-02, 1.885104273000001e+01, 1.438389734000000e-01, -8.667025227000000e-01, 4.776369823000000e-01, -8.780444675000000e-01, 1.108497709000000e-01, 4.655644331000000e-01, -4.564518187000000e-01, -4.863528199000000e-01, -7.450588378000000e-01, 2.853118024883592e+01, -8.056447773887905e+01, 1.684402862626062e+02, 5.175086012479713e+01, 1.885127671896438e+01, 5.954347622249990e-05, 8.972252739591670e+01, 5.229663189222099e+00, 2.853117922672663e+01, -8.056448045610816e+01, 2.112387069845135e-04, 7.159182413000000e+05, 1.125198524000000e+06, 3.016219180887571e+06, -1.814966265317040e+07, 9.935622589939637e+06, 7.302095916108166e+00, -4.496555086559101e+01, 2.455463610486261e+01, 
4.000000000000000e+00, -3.949456035795629e-01, -5.272012380569262e-01, 2.295581936517363e+02, -2.144203155999414e-01, -2.693664291999986e-01, 7.060129600000001e+01, -6.935092939998420e-02, -7.089515749997502e-02, 1.950978210999997e+01, 1.437757721000000e-01, -8.667130093000000e-01, 4.776369823000000e-01, -8.780363819000000e-01, 1.109137986000000e-01, 4.655644331000000e-01, -4.564872829000000e-01, -4.863195336000000e-01, -7.450588378000000e-01, 2.853117965028742e+01, -8.056447836832258e+01, 2.295581936736022e+02, 7.060213545796287e+01, 1.951003417871021e+01, 1.084115611255149e-04, 8.972060038013959e+01, 6.573057634550676e+00, 2.853117774336105e+01, -8.056448322407346e+01, 3.823307630190740e-04, 7.122025152000000e+05, 1.134892708000000e+06, 3.016227801263618e+06, -1.814971575797440e+07, 9.935651590900604e+06, 9.954278948141932e+00, -6.134459641026132e+01, 3.350245294167684e+01, 
5.000000000000000e+00, -6.435118499725284e-01, -8.319177501264574e-01, 3.098616940539530e+02, -2.837712449999256e-01, -3.402615866999736e-01, 9.011107810999997e+01, -7.568558679998458e-02, -7.196930000003922e-02, 2.009652309000002e+01, 1.437125700000000e-01, -8.667234913000000e-01, 4.776369823000000e-01, -8.780282916000000e-01, 1.109778257000000e-01, 4.655644331000000e-01, -4.565227447000000e-01, -4.862862447000000e-01, -7.450588378000000e-01, 2.853117887504038e+01, -8.056447922214102e+01, 3.098616940934905e+02, 9.011216733723246e+01, 2.009679447561465e+01, 1.730945082108082e-04, 8.971829072188054e+01, 8.019691176344184e+00, 2.853117582424187e+01, -8.056448707896293e+01, 6.161626951493497e-04, 7.084559616000000e+05, 1.143063350000000e+06, 3.016239118866626e+06, -1.814978553246256e+07, 9.935689699160585e+06, 1.269505428823239e+01, -7.829592767571738e+01, 4.276430764353674e+01, 
6.000000000000000e+00, -9.645984941682689e-01, -1.208080834106489e+00, 4.099745181524074e+02, -3.594568317999102e-01, -4.122308867000128e-01, 1.102076012000000e+02, -8.205623159998537e-02, -7.294597599998356e-02, 2.067254240000001e+01, 1.436493671000000e-01, -8.667339687000000e-01, 4.776369823000000e-01, -8.780201966000000e-01, 1.110418523000000e-01, 4.655644331000000e-01, -4.565582040000000e-01, -4.862529533000000e-01, -7.450588378000000e-01, 2.853117792144338e+01, -8.056448032031823e+01, 4.099745182210476e+02, 1.102089583735193e+02, 2.067283395232393e+01, 2.544228831164794e-04, 8.971565811039885e+01, 9.541362369524418e+00, 2.853117345999287e+01, -8.056449217676116e+01, 9.202747469550156e-04, 7.046846366000001e+05, 1.149724579000000e+06, 3.016253217246805e+06, -1.814987251854016e+07, 9.935737212107485e+06, 1.551406012705178e+01, -9.575706429418788e+01, 5.230595646682227e+01, 
7.000000000000000e+00, -1.364549369580313e+00, -1.656705403686372e+00, 5.304691487515729e+02, -4.415130633998955e-01, -4.851768626999964e-01, 1.308801436000000e+02, -8.854951269997953e-02, -7.391557529998145e-02, 2.131333689999998e+01, 1.435861635000000e-01, -8.667444415000000e-01, 4.776369823000000e-01, -8.780120970000001e-01, 1.111058782000000e-01, 4.655644331000000e-01, -4.565936609000000e-01, -4.862196592000000e-01, -7.450588378000000e-01, 2.853117678824184e+01, -8.056448168280294e+01, 5.304691488756810e+02, 1.308817875761554e+02, 2.131364901515862e+01, 3.532290234531708e-04, 8.971283114190268e+01, 1.112334444086064e+01, 2.853117064533377e+01, -8.056449867838269e+01, 1.302505436432594e-03, 7.008898443000001e+05, 1.157134889000000e+06, 3.016270172572463e+06, -1.814997721362790e+07, 9.935794402777731e+06, 1.840971740371292e+01, -1.137186713624291e+02, 6.212236640541916e+01, 
8.000000000000000e+00, -1.849791423763795e+00, -2.178760243134470e+00, 6.719504246526050e+02, -5.300625760998751e-01, -5.590924379999779e-01, 1.521934805000000e+02, 4.300985482500153e-01, -7.333711369999420e-02, 2.186614750000001e+01, 1.435229591000000e-01, -8.667549096000000e-01, 4.776369823000000e-01, -8.780039927000000e-01, 1.111699036000000e-01, 4.655644331000000e-01, -4.566291154000000e-01, -4.861863626000000e-01, -7.450588378000000e-01, 2.853117547432870e+01, -8.056448332978717e+01, 6.719504248594077e+02, 1.521954304747442e+02, 2.187049998480165e+01, 4.703672979577081e-04, 8.970997191087038e+01, 1.276068838166306e+01, 2.853116737575651e+01, -8.056450676189631e+01, 1.771622279795836e-03, 6.970668732000000e+05, 1.165561253000000e+06, 3.016290065590216e+06, -1.815010014317630e+07, 9.935861559708914e+06, 2.139123429927724e+01, -1.322368992317594e+02, 7.224449206766991e+01, 
9.000000000000000e+00, -2.252129017583748e+00, -2.774726908615207e+00, 8.350376844513932e+02, -9.996402784985982e-02, -6.324295516999721e-01, 1.740596280000000e+02, 1.487158826850015e+00, -7.150215790000118e-02, 2.224936560000002e+01, 1.623051833000000e-01, -8.642889441000000e-01, 4.760899585000000e-01, -8.753980237000000e-01, 9.652643161000001e-02, 4.736675502000000e-01, -4.553408917000000e-01, -4.936469073000000e-01, -7.409300934000000e-01, 2.853117393807828e+01, -8.056448473961547e+01, 8.350376847622979e+02, 1.740608056382686e+02, 2.229912607115639e+01, 5.881286876804335e-04, 8.978924599810206e+01, 1.444416385803372e+01, 2.853116183843218e+01, -8.056449251707726e+01, 1.409733331811114e-03, 6.932229981000000e+05, 1.170000991000000e+06, 3.016313151935232e+06, -1.815024182361951e+07, 9.935938965419602e+06, 2.496560006729526e+01, -1.511705484834487e+02, 8.259145321361200e+01, 
